indice product_name packaging additives_fr nutrition-score-fr_100g
341 Fruit-Gushers-Variety-Pack Card,Box E407-Carraghénanes,E330-Acidecitrique,E331-Citratesdesodium,E296-Acidemalique,E300-Acideascorbique,E406-Agar-agar,E129-RougealluraAC,E415-Gommexanthane,E133-BleubrillantFCF,E102-Tartrazine,E110-JauneorangéS 14
342 Microwave-Single-Cheeseburger-Macaroni # # #
343 Crunchy-Granola-Bars-Oats-'n-Honey Wrapper E322-Lécithines 11
344 Crunchy-Granola-Bars # # #
345 Crunchy-Peanut-Butter-Granola-Bars Wrapper E322-Lécithines 11
346 honey-nut-cheerios # # #
347 Fiber-One-Original Box # -3
348 Coco-Puffs # E341-Phosphatedecalciumd'hydrogène,E170-Carbonatedecalcium,E101-Riboflavine 0
349 Multi-Grain-Cheerios- # # #
350 Cheerios cardcarton E340iii-Phosphatetripotassique,E307a-Tocophérol,E170-Carbonatedecalcium,E301-Ascorbatedesodium 0
351 Cheerios cardcarton E340iii-Phosphatetripotassique,E307a-Tocophérol,E170-Carbonatedecalcium,E301-Ascorbatedesodium -3
352 Raisin-Nut-Bran Cardboard,Box E422-Glycérol,E322-Lécithines,E339iii-Phosphatedesodiumtribasique 10
353 Mini-Trix Box E339iii-Phosphatedesodiumtribasique,E129-RougealluraAC,E110-JauneorangéS,E133-BleubrillantFCF,E330-Acidecitrique,E170-Carbonatedecalcium,E341iii-Phosphatedetricalcium,E101-Riboflavine 11
354 Lucky-Charms Box E428-Gélatine,E339iii-Phosphatedesodiumtribasique,E129-RougealluraAC,E307a-Tocophérol,E170-Carbonatedecalcium,E101-Riboflavine 14
355 Cheerios- # # #
356 Cocoa-puffs carton # #
